id	name	doi	pmid	source	method.type	comment	missing information	authors
0196	flow0.4_neg			Publication	RP			R. Stoffel, M. Quilliam, N. Hardt, A. Fridstrom, M. Witting
0197	temp37.5_pos			Publication	RP			R. Stoffel, M. Quilliam, N. Hardt, A. Fridstrom, M. Witting
0198	temp37.5_neg			Publication	RP			R. Stoffel, M. Quilliam, N. Hardt, A. Fridstrom, M. Witting
0199	temp39_pos			Publication	RP			R. Stoffel, M. Quilliam, N. Hardt, A. Fridstrom, M. Witting
0200	temp39_neg			Publication	RP			R. Stoffel, M. Quilliam, N. Hardt, A. Fridstrom, M. Witting
0201	temp41_pos			Publication	RP			R. Stoffel, M. Quilliam, N. Hardt, A. Fridstrom, M. Witting
0202	temp41_neg			Publication	RP			R. Stoffel, M. Quilliam, N. Hardt, A. Fridstrom, M. Witting
0203	temp42.5_pos			Publication	RP			R. Stoffel, M. Quilliam, N. Hardt, A. Fridstrom, M. Witting
0204	temp42.5_neg			Publication	RP			R. Stoffel, M. Quilliam, N. Hardt, A. Fridstrom, M. Witting
0205	Orbitrap1			PredRet	RP			
0206	RP_PSB_HF			PredRet	RP			
0207	hypergold_pea			PredRet	RP		gradient, temperatur, flow rate	
0208	IJM_TEST			PredRet	HILIC		column length, ID, particle size, gradient, temperature, flow rate	
0209	SMRT			PredRet	RP		column length, ID, particle size, gradient, temperature, flow rate	
0210	ABC			PredRet	RP		column name, temperature, gradient, flow rate	
0211	SNU-Test			PredRet	RP		temperature	
0212	SNU_RP_70			PredRet	RP		column length, ID, particle size, gradient, temperature, flow rate	
0213	SNU_RP_108			PredRet	RP		column length, ID, particle size, gradient, temperature, flow rate	
0214	SNU_RP_10			PredRet	RP		column length, ID, particle size, gradient, temperature, flow rate	
0215	SNU_RP_20			PredRet	RP		column length, ID, particle size, gradient, temperature, flow rate	
0216	SNU_RP_30			PredRet	RP		column length, ID, particle size, gradient, temperature, flow rate	
0217	SNU_RP_50			PredRet	RP		column length, ID, particle size, gradient, temperature, flow rate	
0218	#HILIC_tip			PredRet	NA		all	
0219	SNU_RIKEN_POS			PredRet	RP		column length, ID, particle size, gradient, temperature, flow rate	
0220	cecum_JS			PredRet	RP	gradient: missing times	temperature	
0221	SNU_RP_indole_annotation			PredRet	RP		column length, ID, particle size, gradient, temperature, flow rate	
0222	METLIN RP			PredRet	RP		column length, ID, particle size, gradient, temperature, flow rate	
0223	SNU_RP_indole_order			PredRet	RP		column length, ID, particle size, gradient, temperature, flow rate	
0224	JKC_Probiotics			PredRet	RP		column length, ID, particle size, gradient, temperature, flow rate	
0225	AjsTestF			PredRet	HILIC		temperature, flow rate	
0226	SNU_organoid			PredRet	RP		column length, ID, temperature, gradient, flow rate	
0227	Meister zic-pHILIC ph9.3			PredRet	HILIC	gradient: missing times	-	
0228	AnnieTestFiehn			PredRet	HILIC		temperature, flow rate	
0229	Dafachronic acids			BGC	RP			
0230	AjsUoB			PredRet	NA			
