id	name	formula	rt	pubchem.cid	pubchem.smiles.isomeric	pubchem.smiles.canonical	pubchem.inchi	pubchem.inchikey	id.chebi	id.hmdb	id.lipidmaps	id.kegg	SMILES	comment
0198_0093	N-ACETYLTRYPTOPHAN	C13H14N2O3	5.693333333	700653.0	CC(=O)N[C@@H](CC1=CNC2=CC=CC=C21)C(=O)O	CC(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)O	InChI=1S/C13H14N2O3/c1-8(16)15-12(13(17)18)6-9-7-14-11-5-3-2-4-10(9)11/h2-5,7,12,14H,6H2,1H3,(H,15,16)(H,17,18)/t12-/m0/s1	DZTHIGRZJZPRDV-LBPRGKRZSA-N					CC(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O	
0198_0094	TRANS-ACONITATE	C6H6O6	0.823333333	444212.0	C(/C(=C\C(=O)O)/C(=O)O)C(=O)O	C(C(=CC(=O)O)C(=O)O)C(=O)O	InChI=1S/C6H6O6/c7-4(8)1-3(6(11)12)2-5(9)10/h1H,2H2,(H,7,8)(H,9,10)(H,11,12)/b3-1+	GTZCVFVGUGFEME-HNQUOIGGSA-N					OC(=O)C\C(=C/C(O)=O)C(O)=O	
0198_0095	N-ACETYLMANNOSAMINE	C8H15NO6	0.703333333	11096158.0	CC(=O)N[C@H]1[C@H]([C@@H]([C@H](O[C@H]1O)CO)O)O	CC(=O)NC1C(C(C(OC1O)CO)O)O	InChI=1S/C8H15NO6/c1-3(11)9-5-7(13)6(12)4(2-10)15-8(5)14/h4-8,10,12-14H,2H2,1H3,(H,9,11)/t4-,5+,6-,7-,8-/m1/s1	OVRNDRQMDRJTHS-OZRXBMAMSA-N					[H][C@@]1(O)O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1NC(C)=O	
0198_0096	GLUCOSE 6-PHOSPHATE	C6H13O9P	0.756666667	5958.0	C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)OP(=O)(O)O	C(C1C(C(C(C(O1)O)O)O)O)OP(=O)(O)O	InChI=1S/C6H13O9P/c7-3-2(1-14-16(11,12)13)15-6(10)5(9)4(3)8/h2-10H,1H2,(H2,11,12,13)/t2-,3-,4+,5-,6?/m1/s1	NBSCHQHZLSJFNQ-GASJEMHNSA-N					OC1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@H]1O	
0198_0097	DIAMINOPIMELATE	C7H14N2O4	0.666666667	439283.0	C(C[C@@H](C(=O)O)N)C[C@@H](C(=O)O)N	C(CC(C(=O)O)N)CC(C(=O)O)N	InChI=1S/C7H14N2O4/c8-4(6(10)11)2-1-3-5(9)7(12)13/h4-5H,1-3,8-9H2,(H,10,11)(H,12,13)/t4-,5-/m0/s1	GMKMEZVLHJARHF-WHFBIAKZSA-N					N[C@@H](CCC[C@H](N)C(O)=O)C(O)=O	
0198_0098	AMINOADIPATE	C6H11NO4	0.733333333	469.0		C(CC(C(=O)O)N)CC(=O)O	InChI=1S/C6H11NO4/c7-4(6(10)11)2-1-3-5(8)9/h4H,1-3,7H2,(H,8,9)(H,10,11)	OYIFNHCXNCRBQI-UHFFFAOYSA-N					NC(CCCC(O)=O)C(O)=O	
0198_0099	DEOXYCYTIDINE	C9H13N3O4	0.753333333	13711.0	C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)CO)O	C1C(C(OC1N2C=CC(=NC2=O)N)CO)O	InChI=1S/C9H13N3O4/c10-7-1-2-12(9(15)11-7)8-3-5(14)6(4-13)16-8/h1-2,5-6,8,13-14H,3-4H2,(H2,10,11,15)/t5-,6+,8+/m0/s1	CKTSBUTUHBMZGZ-SHYZEUOFSA-N					NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](CO)O1	
0198_0100	NORADRENALINE	C8H11NO3	0.686666667	439260.0	C1=CC(=C(C=C1[C@H](CN)O)O)O	C1=CC(=C(C=C1C(CN)O)O)O	InChI=1S/C8H11NO3/c9-4-8(12)5-1-2-6(10)7(11)3-5/h1-3,8,10-12H,4,9H2/t8-/m0/s1	SFLSHLFXELFNJZ-QMMMGPOBSA-N					NC[C@H](O)C1=CC(O)=C(O)C=C1	
0198_0101	GLUCOSAMINE 6-PHOSPHATE	C6H14NO8P	0.686666667	439217.0	C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)N)O)O)OP(=O)(O)O	C(C1C(C(C(C(O1)O)N)O)O)OP(=O)(O)O	InChI=1S/C6H14NO8P/c7-3-5(9)4(8)2(15-6(3)10)1-14-16(11,12)13/h2-6,8-10H,1,7H2,(H2,11,12,13)/t2-,3-,4-,5-,6+/m1/s1	XHMJOUIAFHJHBW-UKFBFLRUSA-N					N[C@H]1[C@@H](O)O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H]1O	
0198_0102	TARTRATE	C4H6O6	0.773333333	439655.0	[C@H]([C@@H](C(=O)O)O)(C(=O)O)O	C(C(C(=O)O)O)(C(=O)O)O	InChI=1S/C4H6O6/c5-1(3(7)8)2(6)4(9)10/h1-2,5-6H,(H,7,8)(H,9,10)/t1-,2-/m0/s1	FEWJPZIEWOKRBE-LWMBPPNESA-N					O[C@@H]([C@H](O)C(O)=O)C(O)=O	
0198_0103	3-DEHYDROSHIKIMATE	C7H8O5	0.803333333	439774.0	C1[C@H]([C@@H](C(=O)C=C1C(=O)O)O)O	C1C(C(C(=O)C=C1C(=O)O)O)O	InChI=1S/C7H8O5/c8-4-1-3(7(11)12)2-5(9)6(4)10/h1,5-6,9-10H,2H2,(H,11,12)/t5-,6-/m1/s1	SLWWJZMPHJJOPH-PHDIDXHHSA-N					C1C(C(C(=O)C=C1C(=O)O)O)O	
0198_0105	HOMOCYSTEINE	C4H9NO2S	0.753333333	778.0		C(CS)C(C(=O)O)N	InChI=1S/C4H9NO2S/c5-3(1-2-8)4(6)7/h3,8H,1-2,5H2,(H,6,7)	FFFHZYDWPBMWHY-UHFFFAOYSA-N					NC(CCS)C(O)=O	
0198_0106	THEOPHYLLINE	C7H8N4O2	2.983333333	2153.0		CN1C2=C(C(=O)N(C1=O)C)NC=N2	InChI=1S/C7H8N4O2/c1-10-5-4(8-3-9-5)6(12)11(2)7(10)13/h3H,1-2H3,(H,8,9)	ZFXYFBGIUFBOJW-UHFFFAOYSA-N					CN1C2=C(NC=N2)C(=O)N(C)C1=O	
0198_0107	LEUCINE	C6H13NO2	1.0	6106.0	CC(C)C[C@@H](C(=O)O)N	CC(C)CC(C(=O)O)N	InChI=1S/C6H13NO2/c1-4(2)3-5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t5-/m0/s1	ROHFNLRQFUQHCH-YFKPBYRVSA-N					CC(C)C[C@H](N)C(O)=O	
0198_0108	TREHALOSE	C12H22O11	0.69	7427.0	C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O)O)O	C(C1C(C(C(C(O1)OC2C(C(C(C(O2)CO)O)O)O)O)O)O)O	InChI=1S/C12H22O11/c13-1-3-5(15)7(17)9(19)11(21-3)23-12-10(20)8(18)6(16)4(2-14)22-12/h3-20H,1-2H2/t3-,4-,5-,6-,7+,8+,9-,10-,11-,12-/m1/s1	HDTRYLNUVZCQOY-LIZSDCNHSA-N					OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O	
0198_0110	TRYPTOPHAN	C11H12N2O2	2.866666667	9060.0	C1=CC=C2C(=C1)C(=CN2)C[C@H](C(=O)O)N	C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N	InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)/t9-/m1/s1	QIVBCDIJIAJPQS-SECBINFHSA-N					N[C@H](CC1=CNC2=CC=CC=C12)C(O)=O	
0198_0111	3-SULFINOALANINE	C3H7NO4S	0.723333333	6398956.0	C([C@@H](C(=O)O)N)S(=O)[O-]	C(C(C(=O)O)N)S(=O)[O-]	InChI=1S/C3H7NO4S/c4-2(3(5)6)1-9(7)8/h2H,1,4H2,(H,5,6)(H,7,8)/p-1/t2-/m0/s1	ADVPTQAUNPRNPO-REOHCLBHSA-M					N[C@@H](CS(=O)=O)C(O)=O	
0198_0112	O-SUCCINYL-HOMOSERINE	C8H13NO6	0.79	439406.0	C(COC(=O)CCC(=O)O)[C@@H](C(=O)O)N	C(COC(=O)CCC(=O)O)C(C(=O)O)N	InChI=1S/C8H13NO6/c9-5(8(13)14)3-4-15-7(12)2-1-6(10)11/h5H,1-4,9H2,(H,10,11)(H,13,14)/t5-/m0/s1	GNISQJGXJIDKDJ-YFKPBYRVSA-N					C(COC(=O)CCC(=O)O)C(C(=O)O)N	
0198_0113	ALLANTOIN	C4H6N4O3	0.736666667	204.0		C1(C(=O)NC(=O)N1)NC(=O)N	InChI=1S/C4H6N4O3/c5-3(10)6-1-2(9)8-4(11)7-1/h1H,(H3,5,6,10)(H2,7,8,9,11)	POJWUDADGALRAB-UHFFFAOYNA-N					NC(=O)NC1NC(=O)NC1=O	
0198_0115	D-GLUCURONOLACTONE	C6H8O6	0.763333333	92283.0	C(=O)[C@@H]([C@@H]1[C@@H]([C@@H](C(=O)O1)O)O)O	C(=O)C(C1C(C(C(=O)O1)O)O)O	InChI=1S/C6H8O6/c7-1-2(8)5-3(9)4(10)6(11)12-5/h1-5,8-10H/t2-,3+,4-,5+/m0/s1	UYUXSRADSPPKRZ-SKNVOMKLSA-N					O[C@@H]1O[C@@H]2[C@@H](O)C(=O)O[C@@H]2[C@H]1O	
0198_0116	(2-AMINOETHYL)PHOSPHONATE	C2H8NO3P	0.7	339.0		C(CP(=O)(O)O)N	InChI=1S/C2H8NO3P/c3-1-2-7(4,5)6/h1-3H2,(H2,4,5,6)	QQVDJLLNRSOCEL-UHFFFAOYSA-N					NCCP(O)(O)=O	
0198_0117	SELENOMETHIONINE	C5H11NO2Se	0.91	105024.0	C[Se]CC[C@@H](C(=O)O)N	C[Se]CCC(C(=O)O)N	InChI=1S/C5H11NO2Se/c1-9-3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)/t4-/m0/s1	RJFAYQIBOAGBLC-BYPYZUCNSA-N					C[Se]CCC(N)C(O)=O	
0198_0119	N,N-DIMETHYL-ARGININE	C8H18N4O2	0.673333333	501.0		CN(C)C(=NCCCC(C(=O)O)N)N	InChI=1S/C8H18N4O2/c1-12(2)8(10)11-5-3-4-6(9)7(13)14/h6H,3-5,9H2,1-2H3,(H2,10,11)(H,13,14)	YDGMGEXADBMOMJ-UHFFFAOYSA-N					CN(C)C(=NCCCC(C(=O)O)N)N	
0198_0120	GLUCOSAMINE	C6H13NO5	0.65	439213.0	C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)N)O)O)O	C(C1C(C(C(C(O1)O)N)O)O)O	InChI=1S/C6H13NO5/c7-3-5(10)4(9)2(1-8)12-6(3)11/h2-6,8-11H,1,7H2/t2-,3-,4-,5-,6?/m1/s1	MSWZFWKMSRAUBD-IVMDWMLBSA-N					N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O	
0198_0121	PARAXANTHINE	C7H8N4O2	2.983333333	4687.0		CN1C=NC2=C1C(=O)N(C(=O)N2)C	InChI=1S/C7H8N4O2/c1-10-3-8-5-4(10)6(12)11(2)7(13)9-5/h3H,1-2H3,(H,9,13)	QUNWUDVFRNGTCO-UHFFFAOYSA-N					CN1C=NC2=C1C(=O)N(C)C(=O)N2	
0198_0123	2-DEOXY-D-GLUCOSE	C6H12O5	0.746666667	439268.0	C1[C@H]([C@@H]([C@H](OC1O)CO)O)O	C1C(C(C(OC1O)CO)O)O	InChI=1S/C6H12O5/c7-2-4-6(10)3(8)1-5(9)11-4/h3-10H,1-2H2/t3-,4-,5?,6+/m1/s1	PMMURAAUARKVCB-CERMHHMHSA-N					[H]C([H])(C=O)[C@@]([H])(O)[C@]([H])(O)[C@]([H])(O)CO	
0198_0124	1-METHYL-L-HISTIDINE	C7H11N3O2	0.64	92105.0	CN1C=C(N=C1)C[C@@H](C(=O)O)N	CN1C=C(N=C1)CC(C(=O)O)N	InChI=1S/C7H11N3O2/c1-10-3-5(9-4-10)2-6(8)7(11)12/h3-4,6H,2,8H2,1H3,(H,11,12)/t6-/m0/s1	BRMWTNUJHUMWMS-LURJTMIESA-N					CN1C=NC(C[C@H](N)C(O)=O)=C1	
0198_0125	GALACTITOL	C6H14O6	0.676666667	11850.0	C([C@H]([C@@H]([C@@H]([C@H](CO)O)O)O)O)O	C(C(C(C(C(CO)O)O)O)O)O	InChI=1S/C6H14O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3-12H,1-2H2/t3-,4+,5+,6-	FBPFZTCFMRRESA-GUCUJZIJSA-N					OC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO	
0198_0126	OXOPROLINE	C5H7NO3	0.866666667	7405.0	C1CC(=O)N[C@@H]1C(=O)O	C1CC(=O)NC1C(=O)O	InChI=1S/C5H7NO3/c7-4-2-1-3(6-4)5(8)9/h3H,1-2H2,(H,6,7)(H,8,9)/t3-/m0/s1	ODHCTXKNWHHXJC-VKHMYHEASA-N					OC(=O)C1CCC(=O)N1	removed other duplicate with synonymous name
0198_0127	4-PYRIDOXATE	C8H9NO4	1.046666667	6723.0		CC1=NC=C(C(=C1O)C(=O)O)CO	InChI=1S/C8H9NO4/c1-4-7(11)6(8(12)13)5(3-10)2-9-4/h2,10-11H,3H2,1H3,(H,12,13)	HXACOUQIXZGNBF-UHFFFAOYSA-N					CC1=NC=C(CO)C(C(O)=O)=C1O	
0198_0128	QUINOLINATE	C7H5NO4	0.84	1066.0		C1=CC(=C(N=C1)C(=O)O)C(=O)O	InChI=1S/C7H5NO4/c9-6(10)4-2-1-3-8-5(4)7(11)12/h1-3H,(H,9,10)(H,11,12)	GJAWHXHKYYXBSV-UHFFFAOYSA-N					OC(=O)C1=CC=CN=C1C(O)=O	
0198_0132	GLUCURONATE	C6H10O7	0.723333333	94715.0	[C@@H]1([C@@H]([C@H](OC([C@@H]1O)O)C(=O)O)O)O	C1(C(C(OC(C1O)O)C(=O)O)O)O	InChI=1S/C6H10O7/c7-1-2(8)4(5(10)11)13-6(12)3(1)9/h1-4,6-9,12H,(H,10,11)/t1-,2-,3+,4-,6?/m0/s1	AEMOLEFTQBMNLQ-AQKNRBDQSA-N					O[C@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)C(O)=O	
0198_0133	1-METHYLADENOSINE	C11H15N5O4	1.353333333	27476.0	CN1C=NC2=C(C1=N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O	CN1C=NC2=C(C1=N)N=CN2C3C(C(C(O3)CO)O)O	InChI=1S/C11H15N5O4/c1-15-3-14-10-6(9(15)12)13-4-16(10)11-8(19)7(18)5(2-17)20-11/h3-5,7-8,11-12,17-19H,2H2,1H3/t5-,7-,8-,11-/m1/s1	GFYLSDSUCHVORB-IOSLPCCCSA-N					CN1C=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C1=N	
0198_0134	DEOXYURIDINE	C9H12N2O5	0.94	13712.0	C1[C@@H]([C@H](O[C@H]1N2C=CC(=O)NC2=O)CO)O	C1C(C(OC1N2C=CC(=O)NC2=O)CO)O	InChI=1S/C9H12N2O5/c12-4-6-5(13)3-8(16-6)11-2-1-7(14)10-9(11)15/h1-2,5-6,8,12-13H,3-4H2,(H,10,14,15)/t5-,6+,8+/m0/s1	MXHRCPNRJAMMIM-SHYZEUOFSA-N					OC[C@H]1O[C@H](C[C@@H]1O)N1C=CC(=O)NC1=O	
0198_0135	TRANS-4-HYDROXY-L-PROLINE	C5H9NO3	0.69	5810.0	C1[C@H](CN[C@@H]1C(=O)O)O	C1C(CNC1C(=O)O)O	InChI=1S/C5H9NO3/c7-3-1-4(5(8)9)6-2-3/h3-4,6-7H,1-2H2,(H,8,9)/t3-,4+/m1/s1	PMMYEEVYMWASQN-DMTCNVIQSA-N					O[C@H]1CN[C@@H](C1)C(O)=O	removed another duplicate entry
0198_0136	UROCANATE	C6H6N2O2	0.756666667	736715.0	C1=C(NC=N1)/C=C/C(=O)O	C1=C(NC=N1)C=CC(=O)O	InChI=1S/C6H6N2O2/c9-6(10)2-1-5-3-7-4-8-5/h1-4H,(H,7,8)(H,9,10)/b2-1+	LOIYMIARKYCTBW-OWOJBTEDSA-N					OC(=O)\C=C\C1=CNC=N1	
0198_0137	KYNURENINE	C10H12N2O3	1.43	161166.0	C1=CC=C(C(=C1)C(=O)C[C@@H](C(=O)O)N)N	C1=CC=C(C(=C1)C(=O)CC(C(=O)O)N)N	InChI=1S/C10H12N2O3/c11-7-4-2-1-3-6(7)9(13)5-8(12)10(14)15/h1-4,8H,5,11-12H2,(H,14,15)/t8-/m0/s1	YGPSJZOEDVAXAB-QMMMGPOBSA-N					N[C@@H](CC(=O)C1=CC=CC=C1N)C(O)=O	
0198_0139	4-ACETAMIDOBUTANOATE	C6H11NO3	1.076666667	18189.0		CC(=O)NCCCC(=O)O	InChI=1S/C6H11NO3/c1-5(8)7-4-2-3-6(9)10/h2-4H2,1H3,(H,7,8)(H,9,10)	UZTFMUBKZQVKLK-UHFFFAOYSA-N					CC(=O)NCCCC(O)=O	
0198_0142	DOPAMINE	C8H11NO2	0.816666667	681.0		C1=CC(=C(C=C1CCN)O)O	InChI=1S/C8H11NO2/c9-4-3-6-1-2-7(10)8(11)5-6/h1-2,5,10-11H,3-4,9H2	VYFYYTLLBUKUHU-UHFFFAOYSA-N					NCCC1=CC=C(O)C(O)=C1	
0198_0144	LYSINE	C6H14N2O2	0.643333333	5962.0	C(CCN)C[C@@H](C(=O)O)N	C(CCN)CC(C(=O)O)N	InChI=1S/C6H14N2O2/c7-4-2-1-3-5(8)6(9)10/h5H,1-4,7-8H2,(H,9,10)/t5-/m0/s1	KDXKERNSBIXSRK-YFKPBYRVSA-N					NCCCC[C@H](N)C(O)=O	
0198_0145	CITICOLINE	C14H26N4O11P2	0.68	13804.0	C[N+](C)(C)CCOP(=O)([O-])OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=CC(=NC2=O)N)O)O	C[N+](C)(C)CCOP(=O)(O)OP(=O)([O-])OCC1C(C(C(O1)N2C=CC(=NC2=O)N)O)O	InChI=1S/C14H26N4O11P2/c1-18(2,3)6-7-26-30(22,23)29-31(24,25)27-8-9-11(19)12(20)13(28-9)17-5-4-10(15)16-14(17)21/h4-5,9,11-13,19-20H,6-8H2,1-3H3,(H3-,15,16,21,22,23,24,25)/t9-,11-,12-,13-/m1/s1	RZZPDXZPRHQOCG-OJAKKHQRSA-N					C[N+](C)(C)CCOP([O-])(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(N)=NC1=O	manual SMILES standardization
0198_0147	PHOSPHOSERINE	C3H8NO6P	0.753333333	106.0		C(C(C(=O)O)N)OP(=O)(O)O	InChI=1S/C3H8NO6P/c4-2(3(5)6)1-10-11(7,8)9/h2H,1,4H2,(H,5,6)(H2,7,8,9)	BZQFBWGGLXLEPQ-UHFFFAOYSA-N					N[C@@H](COP(O)(O)=O)C(O)=O	
0198_0150	CYSTATHIONINE	C7H14N2O4S	0.693333333	834.0		C(CSCC(C(=O)O)N)C(C(=O)O)N	InChI=1S/C7H14N2O4S/c8-4(6(10)11)1-2-14-3-5(9)7(12)13/h4-5H,1-3,8-9H2,(H,10,11)(H,12,13)	ILRYLPWNYFXEMH-UHFFFAOYSA-N					N[C@@H](CCSC[C@H](N)C(O)=O)C(O)=O	
0198_0151	NORVALINE	C5H11NO2	0.756666667	824.0		CCCC(C(=O)O)N	InChI=1S/C5H11NO2/c1-2-3-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)	SNDPXSYFESPGGJ-UHFFFAOYSA-N					CCC[C@@H](N)C(O)=O	
0198_0152	3-HYDROXYMETHYLGLUTARATE	C6H10O5	1.053333333	1662.0		CC(CC(=O)O)(CC(=O)O)O	InChI=1S/C6H10O5/c1-6(11,2-4(7)8)3-5(9)10/h11H,2-3H2,1H3,(H,7,8)(H,9,10)	NPOAOTPXWNWTSH-UHFFFAOYSA-N					CC(O)(CC(O)=O)CC(O)=O	
0198_0153	PHOSPHONOACETATE	C2H5O5P	0.816666667	546.0		C(C(=O)O)P(=O)(O)O	InChI=1S/C2H5O5P/c3-2(4)1-8(5,6)7/h1H2,(H,3,4)(H2,5,6,7)	XUYJLQHKOGNDPB-UHFFFAOYSA-N					OC(=O)CP(O)(O)=O	
0198_0154	PICOLINATE	C6H5NO2	0.84	6920223.0		C1=CC=NC(=C1)C(=O)[O-]	InChI=1S/C6H5NO2/c8-6(9)5-3-1-2-4-7-5/h1-4H,(H,8,9)/p-1	SIOXPEMLGUPBBT-UHFFFAOYSA-M					OC(=O)C1=CC=CC=N1	
0198_0156	ARGININE	C6H14N4O2	0.65	6322.0	C(C[C@@H](C(=O)O)N)CN=C(N)N	C(CC(C(=O)O)N)CN=C(N)N	InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)/t4-/m0/s1	ODKSFYDXXFIFQN-BYPYZUCNSA-N					N[C@@H](CCCN=C(N)N)C(O)=O	
0198_0158	FUCOSE	C6H12O5	0.746666667	17106.0	C[C@H]1[C@H]([C@H]([C@@H](C(O1)O)O)O)O	CC1C(C(C(C(O1)O)O)O)O	InChI=1S/C6H12O5/c1-2-3(7)4(8)5(9)6(10)11-2/h2-10H,1H3/t2-,3+,4+,5-,6?/m0/s1	SHZGCJCMOBCMKK-DHVFOXMCSA-N					C[C@@H]1OC(O)[C@@H](O)[C@H](O)[C@@H]1O	
0198_0159	HOMOCYSTINE	C8H16N2O4S2	0.743333333	10010.0		C(CSSCCC(C(=O)O)N)C(C(=O)O)N	InChI=1S/C8H16N2O4S2/c9-5(7(11)12)1-3-15-16-4-2-6(10)8(13)14/h5-6H,1-4,9-10H2,(H,11,12)(H,13,14)	ZTVZLYBCZNMWCF-UHFFFAOYSA-N					NC(CCSSCCC(N)C(O)=O)C(O)=O	
0198_0160	N-METHYLGLUTAMATE	C6H11NO4	0.733333333	439377.0	CN[C@@H](CCC(=O)O)C(=O)O	CNC(CCC(=O)O)C(=O)O	InChI=1S/C6H11NO4/c1-7-4(6(10)11)2-3-5(8)9/h4,7H,2-3H2,1H3,(H,8,9)(H,10,11)/t4-/m0/s1	XLBVNMSMFQMKEY-BYPYZUCNSA-N					CNC(CCC(=O)O)C(=O)O	
0198_0161	D-ORNITHINE	C5H12N2O2	0.65	71082.0	C(C[C@H](C(=O)O)N)CN	C(CC(C(=O)O)N)CN	InChI=1S/C5H12N2O2/c6-3-1-2-4(7)5(8)9/h4H,1-3,6-7H2,(H,8,9)/t4-/m1/s1	AHLPHDHHMVZTML-SCSAIBSYSA-N					NCCC[C@@H](N)C(O)=O	
0198_0162	XANTHOSINE	C10H12N4O6	1.093333333	64959.0	C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)NC(=O)NC2=O	C1=NC2=C(N1C3C(C(C(O3)CO)O)O)NC(=O)NC2=O	InChI=1S/C10H12N4O6/c15-1-3-5(16)6(17)9(20-3)14-2-11-4-7(14)12-10(19)13-8(4)18/h2-3,5-6,9,15-17H,1H2,(H2,12,13,18,19)/t3-,5-,6-,9-/m1/s1	UBORTCNDUKBEOP-UUOKFMHZSA-N					OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=C(O)N=C2O	
0198_0164	THYROTROPIN RELEASING HORMONE	C16H22N6O4	0.82	638678.0	C1C[C@H](N(C1)C(=O)[C@H](CC2=CN=CN2)NC(=O)[C@@H]3CCC(=O)N3)C(=O)N	C1CC(N(C1)C(=O)C(CC2=CN=CN2)NC(=O)C3CCC(=O)N3)C(=O)N	InChI=1S/C16H22N6O4/c17-14(24)12-2-1-5-22(12)16(26)11(6-9-7-18-8-19-9)21-15(25)10-3-4-13(23)20-10/h7-8,10-12H,1-6H2,(H2,17,24)(H,18,19)(H,20,23)(H,21,25)/t10-,11-,12-/m0/s1	XNSAINXGIQZQOO-SRVKXCTJSA-N					C1CC(N(C1)C(=O)C(CC2=CN=CN2)NC(=O)C3CCC(=O)N3)C(=O)N	
0198_0165	CYTIDINE MONOPHOSPHATE	C9H14N3O8P	0.726666667	6131.0	C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)O)O)O	C1=CN(C(=O)N=C1N)C2C(C(C(O2)COP(=O)(O)O)O)O	InChI=1S/C9H14N3O8P/c10-5-1-2-12(9(15)11-5)8-7(14)6(13)4(20-8)3-19-21(16,17)18/h1-2,4,6-8,13-14H,3H2,(H2,10,11,15)(H2,16,17,18)/t4-,6-,7-,8-/m1/s1	IERHLVCPSMICTF-XVFCMESISA-N					NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O	
0198_0166	N-METHYLASPARTATE	C5H9NO4	0.716666667	22880.0	CN[C@H](CC(=O)O)C(=O)O	CNC(CC(=O)O)C(=O)O	InChI=1S/C5H9NO4/c1-6-3(5(9)10)2-4(7)8/h3,6H,2H2,1H3,(H,7,8)(H,9,10)/t3-/m1/s1	HOKKHZGPKSLGJE-GSVOUGTGSA-N					CN[C@H](CC(O)=O)C(O)=O	
0198_0167	GALACTARATE	C6H10O8	0.75	3037582.0	[C@@H]([C@@H]([C@H](C(=O)O)O)O)([C@@H](C(=O)O)O)O	C(C(C(C(=O)O)O)O)(C(C(=O)O)O)O	InChI=1S/C6H10O8/c7-1(3(9)5(11)12)2(8)4(10)6(13)14/h1-4,7-10H,(H,11,12)(H,13,14)/t1-,2+,3+,4-	DSLZVSRJTYRBFB-DUHBMQHGSA-N					O[C@@H]([C@@H](O)[C@H](O)C(O)=O)[C@@H](O)C(O)=O	
0198_0168	HISTIDINE	C6H9N3O2	0.676666667	6274.0	C1=C(NC=N1)C[C@@H](C(=O)O)N	C1=C(NC=N1)CC(C(=O)O)N	InChI=1S/C6H9N3O2/c7-5(6(10)11)1-4-2-8-3-9-4/h2-3,5H,1,7H2,(H,8,9)(H,10,11)/t5-/m0/s1	HNDVDQJCIGZPNO-YFKPBYRVSA-N					N[C@@H](CC1=CNC=N1)C(O)=O	
0198_0170	N-ACETYLASPARAGINE	C6H10N2O4	0.766666667	99715.0	CC(=O)N[C@@H](CC(=O)N)C(=O)O	CC(=O)NC(CC(=O)N)C(=O)O	InChI=1S/C6H10N2O4/c1-3(9)8-4(6(11)12)2-5(7)10/h4H,2H2,1H3,(H2,7,10)(H,8,9)(H,11,12)/t4-/m0/s1	HXFOXFJUNFFYMO-BYPYZUCNSA-N					CC(=O)N[C@@H](CC(N)=O)C(O)=O	
0198_0171	PIPECOLATE	C6H11NO2	0.79	439227.0	C1CCN[C@@H](C1)C(=O)O	C1CCNC(C1)C(=O)O	InChI=1S/C6H11NO2/c8-6(9)5-3-1-2-4-7-5/h5,7H,1-4H2,(H,8,9)/t5-/m0/s1	HXEACLLIILLPRG-YFKPBYRVSA-N					OC(=O)[C@@H]1CCCCN1	
